lang,country_count
en,90
fr,44
ar,25
es,24
pt,9
nl,8
ru,8
de,6
zh,5
it,4
sw,4
sr,4
sq,3
ms,3
sv,3
hr,3
no,3
ur,2
hi,2
ln,2
el,2
ff,2
ro,2
uz,2
ta,2
ko,2
ca,2
ss,2
af,2
bs,2
tn,2
tr,2
sk,2
pa,2
sm,2
nb,2
nn,2
hy,2
gn,2
tk,2
st,2
ch,2
gv,1
ht,1
zu,1
rw,1
nr,1
bg,1
sl,1
fj,1
da,1
mh,1
gl,1
id,1
to,1
nd,1
sn,1
tg,1
lv,1
ts,1
dz,1
ne,1
ku,1
my,1
la,1
az,1
qu,1
ps,1
ka,1
ny,1
rn,1
lo,1
fi,1
km,1
ti,1
sg,1
hu,1
mi,1
be,1
kk,1
uk,1
vi,1
ay,1
mn,1
mt,1
so,1
fo,1
ve,1
fa,1
mk,1
pl,1
dv,1
kl,1
lt,1
bi,1
th,1
am,1
eu,1
cs,1
bn,1
ky,1
xh,1
lu,1
na,1
si,1
he,1
et,1
lb,1
kg,1
ga,1
ja,1
mg,1
oc,1
is,1
